Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece Wood Lintel for Log Burner Mantle Shelf - Part 1","Our Oak Mantel Beams are crafted to order, thus available in a variety of sizes and lengths - shall you need custom length please send a message with your requirements. We offer three different styles of finishing: sanded, lightly worked or heavily worked.

#NAME?
#NAME?
#NAME?

WHAT YOU WILL BE RECEIVING:

#NAME?
#NAME?
#NAME?

Our products are hand planed and sanded, therefore finished size can deviate up to 1/3"".

Please note, oak beams are natural products and comes with its own cracks, shakes, splits, knocks and other individual characteristics. Changes on appearance on some small level may continue until oak has fully settled. These are not considered as defects, we trust it will add a hint of nature to your home. 

Product color is generally light oak, although it is not uncommon for it to be with some slightly darker shades.

As all beams are made to order we generally get them dispatched within 5 working days, but if you require your order before a certain date please get in touch to check we can meet your deadline prior to ordering.",CraftWoodFurniture,"Oak_Mantle,Oak_Mantel,Lintel,Mantle_Shelf,Oak_Mantle_Beam,Oak_Mantle_Fireplace,Oak_Mantel_Beam,Mantel_Shelf,Floating_Shelf,eichenbalken,viga_madera,mensola_camino,Traditional_Beam",TRUE,Beam Size (Front Side x Top Side),"3""x4"" (7.6x10.2cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-1,0,shopify,0,continue,manual,20,TRUE,TRUE,https://i.etsystatic.com/19500261/r/il/73715e/5356976862/il_fullxfull.5356976862_1sow.jpg,1,"Solid Oak Mantel Beam - All Sizes, Oiled, Pre-Drilled, Free Fixings Included Fireplace Mantlepiece Wood Lintel for Log Burner Mantle Shelf",FALSE,active
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x4"" (7.6x10.2cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-2,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x4"" (7.6x10.2cm)",Beam Lenght,4ft (121.9cm),MantleBeam2-3,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x4"" (7.6x10.2cm)",Beam Lenght,4.5ft (137.2cm),MantleBeam2-4,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x4"" (7.6x10.2cm)",Beam Lenght,5ft (152.4cm),MantleBeam2-5,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x4"" (7.6x10.2cm)",Beam Lenght,5.5ft (167.6cm),MantleBeam2-6,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x4"" (7.6x10.2cm)",Beam Lenght,6ft (182.9cm),MantleBeam2-7,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x4"" (7.6x10.2cm)",Beam Lenght,6.5ft (198.1cm),MantleBeam2-8,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x5"" (7.6x12.7cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-9,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x5"" (7.6x12.7cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-10,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
